Salinity,Depth
33.8621,1.5
33.8632,1.5
33.8621,1.5
33.8633,1.493
33.8646,1.5
33.8652,1.5
33.8655,1.5
33.8656,1.5
33.8657,1.493
33.8664,1.45
33.8661,1.5
33.866,1.55
33.8663,1.45
33.8642,1.493
33.8642,1.5
33.8627,1.5
33.8593,1.5
33.8596,1.5
33.8602,1.493
33.8624,1.45
33.8635,1.5
33.863,1.5
33.8618,1.45
33.8609,1.493
33.861,1.5
33.862,1.45
33.8631,1.5
33.864,1.5
33.8645,1.443
33.865,1.5
33.8664,1.5
33.8688,1.45
33.8697,1.5
33.8686,1.493
33.867,1.45
33.8662,1.5
33.8662,1.45
33.8626,1.45
33.8607,1.337
33.8605,1.6059999999999999
33.8591,1.55
33.8575,1.5
33.857,1.45
33.8571,1.5
33.8592,1.443
33.8609,1.55
33.86,1.45
33.8602,1.55
33.8612,1.45
33.8617,1.55
33.8612,1.5
33.862,1.5
33.8621,1.55
33.8608,1.55
33.8606,1.493
33.8608,1.5
33.8633,1.55
33.8645,1.55
33.865,1.55
33.8671,1.55
33.8683,1.55
33.8679,1.55
33.865,1.55
33.8613,1.55
33.8591,1.55
33.8566,1.55
33.8551,1.5
33.8553,1.6059999999999999
33.8588,1.5
33.8593,1.55
33.8603,1.55
33.859,1.55
33.8573,1.6059999999999999
33.8595,1.6059999999999999
33.86,1.599
33.8615,1.656
33.8632,1.656
33.8652,1.656
33.8656,1.6059999999999999
33.8661,1.7619999999999998
33.8665,1.649
33.8662,1.7619999999999998
33.8674,1.705
33.8652,1.7619999999999998
33.8617,1.7619999999999998
33.8618,1.805
33.8629,1.8119999999999998
33.864,1.7619999999999998
33.8652,1.7619999999999998
33.8654,1.8119999999999998
33.8648,1.861
33.866,1.7619999999999998
33.8678,1.8119999999999998
33.8688,1.8119999999999998
33.868,1.8119999999999998
33.8696,1.805
33.8727,1.9180000000000001
33.8656,1.8119999999999998
33.8596,1.861
33.8603,1.9180000000000001
33.8591,1.861
33.8603,1.911
33.8607,1.9180000000000001
33.8612,1.9680000000000002
33.8621,1.9180000000000001
33.862,1.9680000000000002
33.8623,1.911
33.8624,2.024
33.8608,1.9680000000000002
33.8606,2.074
33.8608,1.9680000000000002
33.8619,2.024
33.8634,2.0669999999999997
33.8634,2.024
33.8629,2.074
33.8616,2.074
33.8609,2.074
33.8601,2.0669999999999997
33.8605,2.123
33.8607,2.123
33.8619,2.123
33.8624,2.123
33.8608,2.18
33.8619,2.173
33.8634,2.18
33.8618,2.23
33.8624,2.23
33.8616,2.23
33.8587,2.23
33.8621,2.23
33.8649,2.279
33.8634,2.279
33.8624,2.279
33.8615,2.279
33.8611,2.279
33.8617,2.385
33.863,2.336
33.8634,2.336
33.8626,2.385
33.862,2.23
33.8619,2.492
33.8606,2.4419999999999997
33.8626,2.4419999999999997
33.8641,2.385
33.8625,2.4419999999999997
33.8624,2.435
33.8597,2.492
33.8618,2.492
